,title,imdb_id,id,release_date,runtime,vote_average,vote_count,popularity,budget,revenue,genres,spoken_languages,original_language,production_companies,production_countries,director
2278,Rolli - Amazing Tales,tt0102824,64038,1991-11-01,82,6.6,6,0.6,0,0,"[{'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]","[{'english_name': 'Finnish', 'iso_639_1': 'fi', 'name': 'suomi'}]",fi,"[{'id': 132839, 'logo_path': None, 'name': 'Marko Röhr Productions Oy', 'origin_country': ''}, {'id': 87358, 'logo_path': None, 'name': 'Fantasiafilmi Oy', 'origin_country': ''}]","[{'iso_3166_1': 'FI', 'name': 'Finland'}]",Olli Soinio
2279,Rollo and the Spirit of the Woods,tt0249131,64029,2001-12-21,92,6.5,13,1.96,2200000,0,"[{'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}, {'id': 10402, 'name': 'Music'}]","[{'english_name': 'Finnish', 'iso_639_1': 'fi', 'name': 'suomi'}]",fi,"[{'id': 5240, 'logo_path': '/ibvN7yjNr8HR92nOn8d4d6TQrYt.png', 'name': 'Matila Röhr Productions (MRP)', 'origin_country': 'FI'}]","[{'iso_3166_1': 'FI', 'name': 'Finland'}]",Olli Saarela
2280,Uuno Turhapuro,tt0070860,36764,1973-08-24,88,5.667,12,1.275,0,0,"[{'id': 35, 'name': 'Comedy'}]","[{'english_name': 'Finnish', 'iso_639_1': 'fi', 'name': 'suomi'}]",fi,"[{'id': 59996, 'logo_path': None, 'name': 'Filmituotanto Spede Pasanen', 'origin_country': 'FI'}]","[{'iso_3166_1': 'FI', 'name': 'Finland'}]",Ere Kokkonen
2281,Professori Uuno D.G. Turhapuro,tt0073581,36765,1975-08-29,86,6.7,11,1.211,0,0,"[{'id': 35, 'name': 'Comedy'}]","[{'english_name': 'Finnish', 'iso_639_1': 'fi', 'name': 'suomi'}]",fi,"[{'id': 59996, 'logo_path': None, 'name': 'Filmituotanto Spede Pasanen', 'origin_country': 'FI'}]","[{'iso_3166_1': 'FI', 'name': 'Finland'}]",Ere Kokkonen
2282,Uuno Turhapuro Suomen Tasavallan Herra Presidentti,tt0105713,36770,1992-08-14,87,5.0,9,1.449,0,0,"[{'id': 35, 'name': 'Comedy'}]","[{'english_name': 'Finnish', 'iso_639_1': 'fi', 'name': 'suomi'}]",fi,"[{'id': 86275, 'logo_path': None, 'name': 'Spede-Studio', 'origin_country': 'FI'}]","[{'iso_3166_1': 'FI', 'name': 'Finland'}]",Ere Kokkonen
2283,Uuno Turhapuro kaksoisagentti,tt0094233,55776,1987-08-28,93,4.5,8,1.67,0,0,"[{'id': 35, 'name': 'Comedy'}]","[{'english_name': 'Finnish', 'iso_639_1': 'fi', 'name': 'suomi'}]",fi,"[{'id': 59996, 'logo_path': None, 'name': 'Filmituotanto Spede Pasanen', 'origin_country': 'FI'}]","[{'iso_3166_1': 'FI', 'name': 'Finland'}]",Spede Pasanen
2284,Uuno Epsanjassa,tt0090245,36769,1985-09-27,105,6.143,14,3.315,0,0,"[{'id': 35, 'name': 'Comedy'}]","[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}, {'english_name': 'Finnish', 'iso_639_1': 'fi', 'name': 'suomi'}]",fi,"[{'id': 59996, 'logo_path': None, 'name': 'Filmituotanto Spede Pasanen', 'origin_country': 'FI'}]","[{'iso_3166_1': 'FI', 'name': 'Finland'}]",Ere Kokkonen
2285,Uuno Turhapuro armeijan leivissä,tt0088336,36768,1984-08-31,107,6.077,13,1.762,0,0,"[{'id': 35, 'name': 'Comedy'}]","[{'english_name': 'Finnish', 'iso_639_1': 'fi', 'name': 'suomi'}]",fi,"[{'id': 59996, 'logo_path': None, 'name': 'Filmituotanto Spede Pasanen', 'origin_country': 'FI'}]","[{'iso_3166_1': 'FI', 'name': 'Finland'}]",Ere Kokkonen
2286,Uuno Turhapuro muuttaa maalle,tt0092144,62898,1986-08-29,106,5.8,10,1.4,0,0,"[{'id': 35, 'name': 'Comedy'}]","[{'english_name': 'Finnish', 'iso_639_1': 'fi', 'name': 'suomi'}]",fi,"[{'id': 59996, 'logo_path': None, 'name': 'Filmituotanto Spede Pasanen', 'origin_country': 'FI'}]","[{'iso_3166_1': 'FI', 'name': 'Finland'}]",Ere Kokkonen
2287,Uuno Turhapuro – This Is My Life,tt0400913,36771,2004-09-10,104,4.0,8,1.498,0,0,"[{'id': 35, 'name': 'Comedy'}]","[{'english_name': 'Finnish', 'iso_639_1': 'fi', 'name': 'suomi'}]",fi,"[{'id': 85763, 'logo_path': None, 'name': 'Ere Kokkonen', 'origin_country': 'FI'}]","[{'iso_3166_1': 'FI', 'name': 'Finland'}]",Ere Kokkonen
