imdb_id,Movie Budget,Movie Box Office US/CA,Movie Box Office Worldwide,Movie Length,Movie Rating,Movie Director Names,Movie Director Links,Movie Cast Names,Movie Cast Links,Movie Awards
tt0117876,,,,1h 35m,7.1,Hiroshi Negishi,['https://www.imdb.com/name/nm0624374/'],"Matt K. Miller, Megumi Hayashibara, Yuri Amano","['https://www.imdb.com/name/nm0588929/', 'https://www.imdb.com/name/nm0370677/', 'https://www.imdb.com/name/nm0023924/']",
tt0205451,,,,1h 35m,7.1,Hiroshi Negishi,['https://www.imdb.com/name/nm0624374/'],"Masami Kikuchi, Ai Orikasa, Yuri Amano","['https://www.imdb.com/name/nm0452844/', 'https://www.imdb.com/name/nm0649849/', 'https://www.imdb.com/name/nm0023924/']",
tt0152979,,,,1h 35m,6.8,Satoshi Kimura,['https://www.imdb.com/name/nm0454111/'],"Masami Kikuchi, Ai Orikasa, Yumi Takada","['https://www.imdb.com/name/nm0452844/', 'https://www.imdb.com/name/nm0649849/', 'https://www.imdb.com/name/nm0847042/']",
tt0246734,,,,50m,6.6,"Konami Yoshida, Kinryû Arimoto, Kôsuke Okano","['https://www.imdb.com/name/nm0948901/', 'https://www.imdb.com/name/nm0034843/', 'https://www.imdb.com/name/nm0645522/']","Konami Yoshida, Kinryû Arimoto, Kôsuke Okano","['https://www.imdb.com/name/nm0948901/', 'https://www.imdb.com/name/nm0034843/', 'https://www.imdb.com/name/nm0645522/']",
tt1217043,,,,58m,5.5,Yasuomi Umetsu,['https://www.imdb.com/name/nm0880870/'],"Marina Inoue, Akemi Okamura, Masakazu Morita","['https://www.imdb.com/name/nm2095800/', 'https://www.imdb.com/name/nm0645500/', 'https://www.imdb.com/name/nm1040968/']",
tt0197521,"$650,000 (estimated)",,,1h 20m,6.3,"Ishirô Honda, Terry O. Morse","['https://www.imdb.com/name/nm0393094/', 'https://www.imdb.com/name/nm0002542/']","Raymond Burr, Takashi Shimura, Momoko Kôchi","['https://www.imdb.com/name/nm0000994/', 'https://www.imdb.com/name/nm0793766/', 'https://www.imdb.com/name/nm0442708/']",Best Movie to Watch at the Drive-In
tt0087344,"$2,000,000 (estimated)","$4,116,395","$4,116,395",1h 27m,6.1,"Koji Hashimoto, R.J. Kizer, Ishirô Honda","['https://www.imdb.com/name/nm0368057/', 'https://www.imdb.com/name/nm0457970/', 'https://www.imdb.com/name/nm0393094/']","Raymond Burr, Keiju Kobayashi, Ken Tanaka","['https://www.imdb.com/name/nm0000994/', 'https://www.imdb.com/name/nm0462013/', 'https://www.imdb.com/name/nm0849006/']","Yasuko Sawaguchi, Teruyoshi Nakano


To Nakano Teruyoshi and the special effects group on the film."
tt0056142,"$200,000 (estimated)",,,1h 37m,5.7,"Ishirô Honda, Tom Montgomery","['https://www.imdb.com/name/nm0393094/', 'https://www.imdb.com/name/nm0599943/']","Tadao Takashima, Kenji Sahara, Yû Fujiki","['https://www.imdb.com/name/nm0847396/', 'https://www.imdb.com/name/nm0756292/', 'https://www.imdb.com/name/nm0297741/']",
tt4530804,,,,1h 33m,4.6,Masafumi Yamada,['https://www.imdb.com/name/nm1925423/'],"Ryôsuke Ikeoka, Rina Ikoma, Jun","['https://www.imdb.com/name/nm4105626/', 'https://www.imdb.com/name/nm5862497/', 'https://www.imdb.com/name/nm7521266/']",
tt5641606,,,,1h 26m,4.2,Masafumi Yamada,['https://www.imdb.com/name/nm1925423/'],"Tsunenori Aoki, Rinka Ichishima, Ryôsuke Ikeoka","['https://www.imdb.com/name/nm6110224/', 'https://www.imdb.com/name/nm11023573/', 'https://www.imdb.com/name/nm4105626/']",
tt0303990,,,,1h 51m,5.5,Takashi Miike,['https://www.imdb.com/name/nm0586281/'],"Ken'ichi Endô, Kôjirô Hongô, Naoko Inoue","['https://www.imdb.com/name/nm0256861/', 'https://www.imdb.com/name/nm0393291/', 'https://www.imdb.com/name/nm2869145/']",
tt4161224,,,,1h 20m,5.2,Takashi Miike,['https://www.imdb.com/name/nm0586281/'],"Ken'ichi Endô, Kôjirô Hongô, Naoko Inoue","['https://www.imdb.com/name/nm0256861/', 'https://www.imdb.com/name/nm0393291/', 'https://www.imdb.com/name/nm2869145/']",
