imdb_id,Movie Budget,Movie Box Office US/CA,Movie Box Office Worldwide,Movie Length,Movie Rating,Movie Director Names,Movie Director Links,Movie Cast Names,Movie Cast Links,Movie Awards
tt6795348,,,,23m,7.0,Lun Wu,['https://www.imdb.com/name/nm8901798/'],Lun Wu,['https://www.imdb.com/name/nm8901798/'],
tt0344170,,,,1h 53m,,Armando Garces,['https://www.imdb.com/name/nm1029587/'],"Fernando Poe Jr., Paquito Diaz, Lito Anzures","['https://www.imdb.com/name/nm0688093/', 'https://www.imdb.com/name/nm0246703/', 'https://www.imdb.com/name/nm1163088/']",
tt5154196,"$8,000 (estimated)",,,17m,7.9,Ren Thackham,['https://www.imdb.com/name/nm6655093/'],"Sebastian Angborn, Danny Bolt, Joseph Frangie","['https://www.imdb.com/name/nm2447067/', 'https://www.imdb.com/name/nm6885405/', 'https://www.imdb.com/name/nm6977668/']",
tt0943489,,,,25m,6.0,Andrzej Trzos-Rastawiecki,['https://www.imdb.com/name/nm0874533/'],"Aleksandra Slaska, Maria Gella, Maria Kaniewska","['https://www.imdb.com/name/nm0805299/', 'https://www.imdb.com/name/nm0312353/', 'https://www.imdb.com/name/nm0437710/']",
tt14111014,,,,1992,,"Tom Burt, Nate Cole, Daniel Franck","['https://www.imdb.com/name/nm12345863/', 'https://www.imdb.com/name/nm12345866/', 'https://www.imdb.com/name/nm12351488/']","Tom Burt, Nate Cole, Daniel Franck","['https://www.imdb.com/name/nm12345863/', 'https://www.imdb.com/name/nm12345866/', 'https://www.imdb.com/name/nm12351488/']",
tt0219021,,,,1970,6.6,Lilli M. Vincenz,['https://www.imdb.com/name/nm4631025/'],Lilli M. Vincenz,['https://www.imdb.com/name/nm4631025/'],
tt14873692,,,,1h 56m,,Alain Boudet,['https://www.imdb.com/name/nm0099130/'],"Jean Marchat, Georges Descrières, André Falcon","['https://www.imdb.com/name/nm0545461/', 'https://www.imdb.com/name/nm0221107/', 'https://www.imdb.com/name/nm0265948/']",
tt3141856,,,,1916,,"Harry Carey, Jane Novak","['https://www.imdb.com/name/nm0002503/', 'https://www.imdb.com/name/nm0636857/']","Harry Carey, Jane Novak","['https://www.imdb.com/name/nm0002503/', 'https://www.imdb.com/name/nm0636857/']",
tt5470672,,,,2h 5m,6.2,Debaditya Bandyopadhyay,['https://www.imdb.com/name/nm7410546/'],"Bhaskar Banerjee, Haradhan Bannerjee, Barun Chakraborty","['https://www.imdb.com/name/nm1980077/', 'https://www.imdb.com/name/nm0052329/', 'https://www.imdb.com/name/nm0149815/']",
tt0006440,,,,1917,,Fred Kelsey,['https://www.imdb.com/name/nm0447043/'],"Louise Lovely, Harry Carey, Jack Richardson","['https://www.imdb.com/name/nm0522593/', 'https://www.imdb.com/name/nm0002503/', 'https://www.imdb.com/name/nm0724586/']",
tt14214572,,,,1h,,Callahan Walsh,['https://www.imdb.com/name/nm8132623/'],Callahan Walsh,['https://www.imdb.com/name/nm8132623/'],
tt0018363,,,,3h 20m,,Neal Hart,['https://www.imdb.com/name/nm0366457/'],"Neal Hart, William Quinn, Lucille Irwin","['https://www.imdb.com/name/nm0366457/', 'https://www.imdb.com/name/nm0704026/', 'https://www.imdb.com/name/nm2641096/']",
tt0326171,,,,1998,6.5,Velma Cato,['https://www.imdb.com/name/nm0146240/'],"Jane Alexander, Eddie 'Rochester' Anderson, Josephine Baker","['https://www.imdb.com/name/nm0000737/', 'https://www.imdb.com/name/nm0026655/', 'https://www.imdb.com/name/nm0001927/']",
tt18554980,,,,1h,7.1,Helena Brooks,['https://www.imdb.com/name/nm1286783/'],"Bridie Carter, Bessie Holland, Mandy McElhinney","['https://www.imdb.com/name/nm0141501/', 'https://www.imdb.com/name/nm6684707/', 'https://www.imdb.com/name/nm1009506/']",
tt21928282,,,,1h 37m,,Annette Ernst,['https://www.imdb.com/name/nm0259678/'],"Anny, Pedi, Eike","['https://www.imdb.com/name/nm14041670/', 'https://www.imdb.com/name/nm14041671/', 'https://www.imdb.com/name/nm14041672/']",
tt0019413,,,,10m,,Thomas Chalmers,['https://www.imdb.com/name/nm0150045/'],Robert Benchley,['https://www.imdb.com/name/nm0070361/'],
tt13653440,$400 (estimated),,,17m,,Hudson Flynn,['https://www.imdb.com/name/nm6827712/'],"Jalen Bunch, Jack Clark, Alexander Coyoc","['https://www.imdb.com/name/nm12150865/', 'https://www.imdb.com/name/nm12150861/', 'https://www.imdb.com/name/nm12150863/']","Best Overall Film
Hudson Flynn

Richard Burns

Andrew Kato

Onward & Upward, Best Direction
Hudson Flynn
(director)

Onward & Upward, Best Screenplay
Hudson Flynn

Onward & Upward"
tt0787231,,,,1948,,Manuel Conde,['https://www.imdb.com/name/nm1047314/'],"Manuel Conde, Gil de Leon, Lirio del Valle","['https://www.imdb.com/name/nm1047314/', 'https://www.imdb.com/name/nm0216737/', 'https://www.imdb.com/name/nm1834132/']",
tt14900174,"$15,000 (estimated)",,,2m,,Alessandro Nardini,['https://www.imdb.com/name/nm2135543/'],Alessandro Nardini,['https://www.imdb.com/name/nm2135543/'],
tt12318318,"COP 1,200,000 (estimated)",,,9m,,Nicolás O. Segura,['https://www.imdb.com/name/nm11578489/'],"Natalia Castañeda, Pablo Rodríguez, Juan Sanchez","['https://www.imdb.com/name/nm8212565/', 'https://www.imdb.com/name/nm11578492/', 'https://www.imdb.com/name/nm11578490/']",
tt21228512,,,,1h 10m,,Robin Dimet,['https://www.imdb.com/name/nm5324307/'],Robin Dimet,['https://www.imdb.com/name/nm5324307/'],
tt8223294,,,,19m,,Nans Laborde-Jourdàa,['https://www.imdb.com/name/nm3147086/'],Nans Laborde-Jourdàa,['https://www.imdb.com/name/nm3147086/'],
tt18364372,,,,54m,,Tamara Erde,['https://www.imdb.com/name/nm3422838/'],"Sandrine Bonnaire, Rachel Carson","['https://www.imdb.com/name/nm0094789/', 'https://www.imdb.com/name/nm10750318/']",
tt16915164,,,,37m,7.9,Kim Harrington,['https://www.imdb.com/name/nm11327173/'],Kim Harrington,['https://www.imdb.com/name/nm11327173/'],
tt20752590,,,,1h 32m,6.0,Joel Lamangan,['https://www.imdb.com/name/nm0482774/'],"Christine Bermas, Sean De Guzman, Jela Cuenca","['https://www.imdb.com/name/nm12763049/', 'https://www.imdb.com/name/nm12239888/', 'https://www.imdb.com/name/nm13112434/']",
tt0186805,,,,1970,3.5,Varaprasadarao K.,['https://www.imdb.com/name/nm1464107/'],"Anjali Devi, Gummadi, Sridevi","['https://www.imdb.com/name/nm0222432/', 'https://www.imdb.com/name/nm0347953/', 'https://www.imdb.com/name/nm0004437/']",
tt11541644,,,,2h 13m,6.7,Gururaj Kulkarni Nadagoud,['https://www.imdb.com/name/nm6765401/'],"Urvashi H.V., Manasa Joshi, Seetha Kote","['https://www.imdb.com/name/nm11992436/', 'https://www.imdb.com/name/nm6765393/', 'https://www.imdb.com/name/nm11244059/']",
tt0068753,,,,1972,6.3,Palash Bannerjee,['https://www.imdb.com/name/nm0052338/'],"Samit Bhanja, Radha Saluja, Amitabh Bachchan","['https://www.imdb.com/name/nm0080214/', 'https://www.imdb.com/name/nm0759182/', 'https://www.imdb.com/name/nm0000821/']",
tt9557296,,,,1h 32m,7.8,Faran Moradi,['https://www.imdb.com/name/nm5679867/'],"Sammy Azero, Mo Zeighami, Navid Negahban","['https://www.imdb.com/name/nm8902130/', 'https://www.imdb.com/name/nm10727705/', 'https://www.imdb.com/name/nm1041023/']",
tt7970172,,,,,,"Jiahuang Peng, Peng Chen","['https://www.imdb.com/name/nm9609200/', 'https://www.imdb.com/name/nm4447475/']","Elijah Wood, Whitney Anderson, Hannah Bamberg","['https://www.imdb.com/name/nm0000704/', 'https://www.imdb.com/name/nm0027575/', 'https://www.imdb.com/name/nm6442877/']",
